Wall time,Step,Value
1755169780.947118,244,0.5862130522727966
1755169852.8587193,465,0.1821562498807907
1755169882.568643,556,0.3259023427963257
1755169915.889788,658,0.731347918510437
1755169963.436096,804,0.22791346907615662
1755170035.7381155,1026,0.11262351274490356
1755170070.1583586,1132,0.09830962866544724
1755170176.2438142,1458,0.36280256509780884
1755170193.1920695,1510,0.16252125799655914
1755170333.1552558,1940,0.45046722888946533
1755170339.6602051,1960,0.1393321305513382
1755170649.4002874,2503,0.15636366605758667
1755170727.664277,2693,0.3155246078968048
1755170737.6216097,2717,0.15744099020957947
1755170889.2290773,3083,0.15630540251731873
1755170954.6093173,3241,0.4387205243110657
1755170964.5141184,3265,0.1915624588727951
1755171088.3713796,3566,0.10611710697412491
1755171316.6586375,4121,0.07149426639080048
1755171341.2543242,4181,0.14378172159194946
1755171498.9515169,4564,0.06418450176715851
1755171824.1016572,5090,0.1453472375869751
1755171863.9780142,5187,0.12354142218828201
1755171894.914995,5262,0.10638480633497238
1755171908.4702423,5295,0.06738641858100891
1755171936.3948774,5362,0.12160938233137131
1755171974.440567,5454,0.09083148837089539
1755172062.4242997,5667,0.15367703139781952
1755172130.7570336,5832,0.05926824361085892
1755172144.7517493,5866,0.18146751821041107
1755172192.0045152,5981,0.07571710646152496
1755172198.5336616,5997,0.12223948538303375
1755172221.678779,6053,0.23325344920158386
1755172315.3330367,6279,0.10574167221784592
1755172338.0403645,6334,0.04281855374574661
1755172434.8666112,6569,0.04257800430059433
1755172501.2012806,6730,0.16927148401737213
1755172550.5978603,6850,0.07841957360506058
1755172608.6638582,6991,0.8984922766685486
1755172902.3790345,7436,0.11102782189846039
1755172913.9857159,7464,0.07561282068490982
1755172988.3201613,7644,0.03880908340215683
1755173023.846289,7730,0.02448425069451332
1755173129.7081082,7986,0.047759853303432465
1755173255.874195,8291,0.08448387682437897
1755173362.2441509,8548,0.12626762688159943
1755173364.712803,8554,0.0542263425886631
1755173391.138898,8618,0.1692877858877182
1755173408.0947452,8659,0.04230225086212158
1755173422.4881523,8694,0.04765956476330757
1755173446.2906327,8752,0.3498237431049347
1755173456.1521523,8776,0.06293921917676926
1755173611.692582,9152,0.13949228823184967
1755173652.8782346,9252,0.0994250625371933
1755173669.4317844,9291,0.158335343003273
1755173684.2609465,9327,0.07273811846971512
1755173697.3943665,9359,0.031232498586177826
