Wall time,Step,Value
1755170630.3290806,0,57.159210205078125
1755171751.140637,1,60.918941497802734
1755172877.3980656,2,64.82557678222656
1755174003.7109516,3,65.32162475585938
1755175129.4127579,4,66.66809844970703
1755176254.4190216,5,66.18709564208984
1755177377.319604,6,65.70108032226562
1755178502.387358,7,69.59502410888672
1755179627.671744,8,68.61888885498047
1755180749.5619602,9,70.77816772460938
1755181874.9102428,10,69.89737701416016
1755182995.9805784,11,68.91290283203125
1755184118.396206,12,70.06771850585938
1755185242.855398,13,68.57074737548828
1755186365.673609,14,66.06632995605469
1755187488.0732558,15,71.39995574951172
1755188612.6489894,16,69.21652221679688
1755189733.6810572,17,71.73371124267578
1755190857.019475,18,68.4279556274414
1755191980.6379774,19,70.44430541992188
1755193103.6504624,20,69.1259765625
1755194223.6198423,21,69.57897186279297
1755195347.817933,22,71.83446502685547
1755196472.7976503,23,72.13427734375
1755197596.988446,24,69.01239776611328
1755198722.286332,25,70.02896881103516
1755199847.2057145,26,70.66692352294922
1755200971.1575665,27,74.01050567626953
1755202098.4736252,28,72.45516967773438
1755203222.5370016,29,71.37691497802734
1755204347.7651954,30,70.46949005126953
1755205472.4686923,31,69.9932861328125
1755206589.1673307,32,71.65037536621094
1755207713.1535363,33,71.76554870605469
1755208835.7153943,34,70.27873229980469
1755209960.547039,35,72.28192901611328
1755211083.9922135,36,72.37427520751953
1755212206.7859304,37,71.82218933105469
1755213331.7554946,38,71.92821502685547
1755214457.4391787,39,70.42477416992188
1755215582.4808764,40,71.10079956054688
1755216706.613672,41,69.07980346679688
1755217830.3074975,42,67.7013168334961
1755218956.4262831,43,67.38076782226562
1755220081.1734042,44,70.2657241821289
1755221206.7052228,45,70.80940246582031
1755222330.6222715,46,68.9203872680664
1755223451.9094164,47,71.15047454833984
1755224575.5826983,48,68.67784881591797
1755225699.0906038,49,71.22777557373047
1755226842.2913988,50,66.18096923828125
1755227971.5354972,51,65.36752319335938
1755229095.1755419,52,65.16691589355469
1755230221.6664119,53,62.71849060058594
1755231347.790949,54,68.6847915649414
1755232475.4844587,55,64.14215087890625
1755233604.7638774,56,65.54978942871094
1755234732.4425685,57,65.31277465820312
1755235858.3973553,58,62.975032806396484
1755236987.116873,59,61.82785415649414
1755238119.630778,60,64.99542999267578
1755239274.9525278,61,69.13409423828125
1755240413.0438182,62,66.62641906738281
1755241550.106448,63,62.13288497924805
1755242683.214769,64,65.60709381103516
1755243818.472595,65,74.09687042236328
1755244962.5601568,66,66.98030853271484
1755246102.3091812,67,68.80636596679688
1755247248.6797345,68,65.10701751708984
1755248390.7942264,69,67.4879150390625
1755249609.9249938,70,71.1504898071289
1755250784.458017,71,73.48792266845703
1755251908.697565,72,66.25151824951172
1755253028.884398,73,68.67239379882812
1755254149.246244,74,67.7043228149414
1755255269.1808496,75,65.0779800415039
1755256389.3050363,76,71.25646209716797
1755257512.8708632,77,70.08893585205078
1755258636.55689,78,66.73999786376953
1755259761.3658204,79,64.16233825683594
